Ticker,Name,Size,Sector,Industry
SBUX,Starbucks Corp,Large,Consumer Discretionary,Travel and Leisure
HOT,Starwood Hotels & Resorts Worldwide Inc,Mid,Consumer Discretionary,Travel and Leisure
TXRH,Texas Roadhouse Inc,Small,Consumer Discretionary,Travel and Leisure
MTN,Vail Resorts Inc,Mid,Consumer Discretionary,Travel and Leisure
WEN,Wendys Co,Small,Consumer Discretionary,Travel and Leisure
WYN,Wyndham Worldwide Corp,Mid,Consumer Discretionary,Travel and Leisure
WYNN,Wynn Resorts Ltd,Mid,Consumer Discretionary,Travel and Leisure
YUM,Yum! Brands Inc,Large,Consumer Discretionary,Travel and Leisure
CAA,CalAtlantic Group Inc,Mid,Consumer Discretionary,Household Durables
DHI,D.R. Horton Inc,Mid,Consumer Discretionary,Household Durables
GRMN,Garmin Ltd,Mid,Consumer Discretionary,Household Durables
GPRO,GoPro Inc,Small,Consumer Discretionary,Household Durables
HAR,Harman International Industries Inc,Mid,Consumer Discretionary,Household Durables
HELE,Helen of Troy Ltd,Small,Consumer Discretionary,Household Durables
IRBT,iRobot Corp,Small,Consumer Discretionary,Household Durables
JAH,Jarden Corp,Mid,Consumer Discretionary,Household Durables
KBH,KB Home,Small,Consumer Discretionary,Household Durables
LZB,La-Z-Boy Inc,Small,Consumer Discretionary,Household Durables
LEG,Leggett & Platt Inc,Mid,Consumer Discretionary,Household Durables
LEN,Lennar Corp,Mid,Consumer Discretionary,Household Durables
MDC,MDC Holdings Inc,Small,Consumer Discretionary,Household Durables
MTH,Meritage Homes Corp,Small,Consumer Discretionary,Household Durables
MHK,Mohawk Industries Inc,Mid,Consumer Discretionary,Household Durables
NWL,Newell Rubbermaid Inc,Mid,Consumer Discretionary,Household Durables
NVR,NVR Inc,Mid,Consumer Discretionary,Household Durables
PHM,PulteGroup Inc,Mid,Consumer Discretionary,Household Durables
TMHC,Taylor Morrison Home Corp,Small,Consumer Discretionary,Household Durables
TPX,Tempur Sealy International Inc,Mid,Consumer Discretionary,Household Durables
TOL,Toll Brothers Inc,Mid,Consumer Discretionary,Household Durables
BLD,TopBuild Corp,Small,Consumer Discretionary,Household Durables
TPH,TRI Pointe Group Inc,Small,Consumer Discretionary,Household Durables
TUP,Tupperware Brands Corp,Small,Consumer Discretionary,Household Durables
WHR,Whirlpool Corp,Mid,Consumer Discretionary,Household Durables
AMZN,Amazon.com Inc,Large,Consumer Discretionary,Retail
CNV,Cnova NV,Small,Consumer Discretionary,Retail
EXPE,Expedia Inc,Mid,Consumer Discretionary,Retail
GRPN,Groupon Inc,Small,Consumer Discretionary,Retail
HSNI,HSN Inc,Small,Consumer Discretionary,Retail
LVNTA,Liberty Interactive Corp,Mid,Consumer Discretionary,Retail
QVCA,Liberty Interactive Corp,Mid,Consumer Discretionary,Retail
LTRPA,Liberty Tripadvisor Holdings Inc,Small,Consumer Discretionary,Retail
NFLX,Netflix Inc,Large,Consumer Discretionary,Retail
PCLN,Priceline Group Inc,Large,Consumer Discretionary,Retail
SFLY,Shutterfly Inc,Small,Consumer Discretionary,Retail
TRIP,TripAdvisor Inc,Mid,Consumer Discretionary,Retail
W,Wayfair Inc,Mid,Consumer Discretionary,Retail
BC,Brunswick Corp,Mid,Consumer Discretionary,Leisure Products
HAS,Hasbro Inc,Mid,Consumer Discretionary,Leisure Products
MAT,Mattel Inc,Mid,Consumer Discretionary,Leisure Products
PII,Polaris Industries Inc,Mid,Consumer Discretionary,Leisure Products
SWHC,Smith & Wesson Holding Corp,Small,Consumer Discretionary,Leisure Products
RGR,Sturm Ruger & Co Inc,Small,Consumer Discretionary,Leisure Products
VSTO,Vista Outdoor Inc,Small,Consumer Discretionary,Leisure Products
AMC,AMC Entertainment Holdings Inc,Small,Consumer Discretionary,Media
AMCX,AMC Networks Inc,Mid,Consumer Discretionary,Media
CABO,Cable ONE Inc,Small,Consumer Discretionary,Media
CVC,Cablevision Systems Corp,Mid,Consumer Discretionary,Media
CBS,CBS Corp,Large,Consumer Discretionary,Media
CHTR,Charter Communications Inc,Large,Consumer Discretionary,Media
CNK,Cinemark Holdings Inc,Mid,Consumer Discretionary,Media
CCO,Clear Channel Outdoor Holdings Inc,Small,Consumer Discretionary,Media
CMCSA,Comcast Corp,Large,Consumer Discretionary,Media
CRWN,Crown Media Holdings Inc,Small,Consumer Discretionary,Media
DISCA,Discovery Communications Inc,Mid,Consumer Discretionary,Media
DISH,DISH Network Corp,Large,Consumer Discretionary,Media
DWA,DreamWorks Animation SKG Inc,Small,Consumer Discretionary,Media
SSP,E. W. Scripps Co,Small,Consumer Discretionary,Media
GCI,Gannett Co Inc,Small,Consumer Discretionary,Media
IMAX,IMAX Corp,Small,Consumer Discretionary,Media
IPG,Interpublic Group of Companies Inc,Mid,Consumer Discretionary,Media
LBRDA,Liberty Broadband Corp,Small,Consumer Discretionary,Media
LBTYA,Liberty Global PLC,Mid,Consumer Discretionary,Media
LMCA,Liberty Media Corp,Mid,Consumer Discretionary,Media
LGF,Lions Gate Entertainment Corp,Small,Consumer Discretionary,Media
LYV,Live Nation Entertainment Inc,Mid,Consumer Discretionary,Media
MSG,Madison Square Garden Co,Mid,Consumer Discretionary,Media
MANU,Manchester United PLC,Small,Consumer Discretionary,Media
MDCA,MDC Partners Inc,Small,Consumer Discretionary,Media
MDP,Meredith Corp,Small,Consumer Discretionary,Media
MSGN,MSG Networks Inc,Small,Consumer Discretionary,Media
NERO,Neuromama Ltd,Mid,Consumer Discretionary,Media
NYT,New York Times Co,Small,Consumer Discretionary,Media
NWSA,News Corp,Mid,Consumer Discretionary,Media
NXST,Nexstar Broadcasting Group Inc,Small,Consumer Discretionary,Media
OMC,Omnicom Group Inc,Large,Consumer Discretionary,Media
RGC,Regal Entertainment Group,Small,Consumer Discretionary,Media
SCHL,Scholastic Corp,Small,Consumer Discretionary,Media
SNI,Scripps Networks Interactive Inc,Mid,Consumer Discretionary,Media
SJR,Shaw Communications Inc,Mid,Consumer Discretionary,Media
SBGI,Sinclair Broadcast Group Inc,Small,Consumer Discretionary,Media
SIRI,Sirius XM Holdings Inc,Large,Consumer Discretionary,Media
